estevamfurtado@Estevams-MacBook-Pro micrograd-go % go run ./examples/mnist
train: 60000 samples, test: 10000 samples
model: 12730 parameters
hidden_size=16 limit=60000 test_limit=10000 epochs=10 batch_size=32 lr=0.02
training started (0.00 min)
initial test accuracy: 6.2%
epoch | batch |    min |   loss | accuracy
epoch 0 started (0.11 min, lr 0.020)
    3 |  1650 |   8.81 |   0.11 |   100.0%
    3 |  1700 |   8.86 |   0.21 |    90.6%
    3 |  1750 |   8.92 |   0.31 |    90.6%
    3 |  1800 |   8.98 |   0.38 |    90.6%
    3 |  1850 |   9.03 |   0.11 |   100.0%
epoch 3 done (9.72 min): test 92.1%, train 92.2%
epoch 4 started (9.72 min, lr 0.013)
    4 |     0 |   9.72 |   0.31 |    93.8%
    4 |    50 |   9.77 |   0.22 |    93.8%
    4 |   100 |   9.82 |   0.67 |    90.6%
    4 |   150 |   9.86 |   0.18 |    93.8%
    4 |   200 |   9.91 |   0.50 |    81.2%
    4 |   250 |   9.95 |   0.23 |    90.6%
    4 |   300 |  10.00 |   0.25 |    96.9%
    4 |   350 |  10.05 |   0.29 |    93.8%
    4 |   400 |  10.10 |   0.16 |    96.9%
    4 |   450 |  10.14 |   0.09 |    96.9%
    4 |   500 |  10.19 |   0.29 |    93.8%
    4 |   550 |  10.24 |   0.38 |    84.4%
    4 |   600 |  10.28 |   0.21 |    96.9%
    4 |   650 |  10.33 |   0.32 |    93.8%
    4 |   700 |  10.38 |   0.31 |    84.4%
    4 |   750 |  10.42 |   0.66 |    84.4%
    4 |   800 |  10.47 |   0.44 |    90.6%
    4 |   850 |  10.52 |   0.10 |   100.0%
    4 |   900 |  10.57 |   0.17 |    93.8%
    4 |   950 |  10.61 |   0.17 |    93.8%
    4 |  1000 |  10.66 |   0.11 |    96.9%
    4 |  1050 |  10.70 |   0.29 |    96.9%
    4 |  1100 |  10.75 |   0.75 |    71.9%
    4 |  1150 |  10.80 |   0.39 |    90.6%
    4 |  1200 |  10.85 |   0.27 |    93.8%
    4 |  1250 |  10.89 |   0.31 |    81.2%
    4 |  1300 |  10.94 |   0.27 |    90.6%
    4 |  1350 |  10.98 |   0.78 |    81.2%
    4 |  1400 |  11.03 |   0.14 |    93.8%
    4 |  1450 |  11.08 |   0.32 |    90.6%
    4 |  1500 |  11.12 |   0.45 |    87.5%
    4 |  1550 |  11.17 |   0.23 |    90.6%
    4 |  1600 |  11.22 |   0.16 |    93.8%
    4 |  1650 |  11.27 |   0.24 |    93.8%
    4 |  1700 |  11.32 |   0.57 |    84.4%
    4 |  1750 |  11.37 |   0.43 |    87.5%
    4 |  1800 |  11.42 |   0.30 |    90.6%
    4 |  1850 |  11.47 |   0.33 |    87.5%
epoch 4 done (12.14 min): test 92.8%, train 92.6%
epoch 5 started (12.14 min, lr 0.011)
    5 |     0 |  12.15 |   0.23 |    93.8%
^Csignal: interrupt
