estevamfurtado@Estevams-MacBook-Pro micrograd-go % go run ./examples/mnist      
train: 60000 samples, test: 10000 samples
model: 12730 parameters
hidden_size=16 limit=60000 test_limit=10000 epochs=10 batch_size=32 lr=0.02
training started (0.00 min)
initial test accuracy: 10.3%
epoch | batch |    min |   loss | accuracy
epoch 0 started (0.10 min, lr 0.020)
    5 |  1650 |  13.98 |   0.60 |    81.2%
    5 |  1700 |  14.02 |   0.29 |    90.6%
    5 |  1750 |  14.07 |   0.46 |    87.5%
    5 |  1800 |  14.11 |   0.09 |    96.9%
    5 |  1850 |  14.16 |   0.31 |    93.8%
epoch 5 done (14.81 min): test 93.1%, train 93.1%
epoch 6 started (14.81 min, lr 0.009)
    6 |     0 |  14.82 |   0.32 |    87.5%
    6 |    50 |  14.86 |   0.11 |    96.9%
    6 |   100 |  14.91 |   0.15 |    96.9%
    6 |   150 |  14.95 |   0.55 |    84.4%
    6 |   200 |  15.00 |   0.47 |    90.6%
    6 |   250 |  15.04 |   0.23 |    96.9%
    6 |   300 |  15.09 |   0.41 |    87.5%
    6 |   350 |  15.13 |   0.24 |    90.6%
    6 |   400 |  15.18 |   0.28 |    93.8%
    6 |   450 |  15.22 |   0.32 |    90.6%
    6 |   500 |  15.27 |   0.24 |    90.6%
    6 |   550 |  15.31 |   0.11 |    96.9%
    6 |   600 |  15.36 |   0.22 |    90.6%
    6 |   650 |  15.40 |   0.17 |    96.9%
    6 |   700 |  15.45 |   0.27 |    93.8%
    6 |   750 |  15.49 |   0.09 |   100.0%
    6 |   800 |  15.54 |   0.50 |    84.4%
    6 |   850 |  15.58 |   0.19 |    96.9%
    6 |   900 |  15.62 |   0.60 |    78.1%
    6 |   950 |  15.67 |   0.17 |    93.8%
    6 |  1000 |  15.72 |   0.27 |    93.8%
    6 |  1050 |  15.76 |   0.15 |    96.9%
    6 |  1100 |  15.80 |   0.23 |    93.8%
    6 |  1150 |  15.85 |   0.24 |    90.6%
    6 |  1200 |  15.89 |   0.20 |    93.8%
    6 |  1250 |  15.94 |   0.20 |    93.8%
    6 |  1300 |  15.98 |   0.47 |    84.4%
    6 |  1350 |  16.03 |   0.17 |    96.9%
    6 |  1400 |  16.07 |   0.23 |    93.8%
    6 |  1450 |  16.12 |   0.12 |    93.8%
    6 |  1500 |  16.16 |   0.16 |    96.9%
    6 |  1550 |  16.21 |   0.09 |    96.9%
    6 |  1600 |  16.25 |   0.15 |    96.9%
    6 |  1650 |  16.30 |   0.33 |    87.5%
    6 |  1700 |  16.34 |   0.33 |    87.5%
    6 |  1750 |  16.39 |   0.21 |    90.6%
    6 |  1800 |  16.43 |   0.21 |    96.9%
    6 |  1850 |  16.48 |   0.24 |    93.8%
epoch 6 done (17.13 min): test 93.1%, train 93.2%
epoch 7 started (17.13 min, lr 0.007)
